Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Age_DailyRate,MonthlyIncome_JobLevel,YearsAtCompany_TotalWorkingYears,Age_Binned,MonthlyIncome_Binned,Income_to_Level_Ratio,Company_Loyalty,WorkLife_OverTime_Stress,JobRole_Hash_0,JobRole_Hash_1,JobRole_Hash_2,JobRole_Hash_3,JobRole_Hash_4,JobRole_Hash_5,JobRole_Hash_6,JobRole_Hash_7
47,0,2,1225,2,2,4,1,2,0,47,4,4,2,0,15972,21086,6,0,14,3,3,3,29,2,3,3,2,1,2,57575,63888,87,2,2,3194.4,0.1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0,2,594,1,2,1,5,3,1,100,3,1,4,1,2523,19299,0,0,14,3,3,1,3,2,3,2,1,2,1,13068,2523,6,0,0,1261.5,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,0,2,406,2,3,1,2,1,1,52,3,4,3,1,17465,15596,3,0,12,3,4,1,23,3,3,12,9,4,9,18676,69860,276,2,2,3493.0,0.5,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0,2,622,2,13,1,3,2,1,40,3,1,3,1,2096,26376,1,0,11,3,3,0,7,1,3,7,4,0,6,15550,2096,49,0,0,1048.0,0.875,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
43,0,1,1001,1,9,5,3,4,1,72,3,2,3,0,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7,43043,11358,80,2,1,1893.0,0.7272727272727273,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
28,1,2,1157,1,2,4,3,1,1,84,1,1,4,1,3464,24737,5,1,13,3,4,0,5,4,2,3,2,2,2,32396,3464,15,0,0,1732.0,0.5,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0,2,833,1,1,3,1,3,1,96,3,1,4,1,2723,23231,1,0,11,3,2,0,1,0,2,1,0,0,0,42483,2723,1,3,0,1361.5,0.5,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0,1,1082,1,27,3,1,3,0,83,3,3,1,1,10820,11535,8,0,11,3,3,1,18,1,3,8,7,0,1,46526,32460,144,2,2,2705.0,0.42105263157894735,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
40,0,2,118,2,14,2,1,4,0,84,3,2,1,1,4639,11262,1,0,15,3,3,1,5,2,3,5,4,1,2,4720,9278,25,1,0,1546.3333333333333,0.8333333333333334,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,0,2,205,2,10,3,2,4,0,98,2,2,4,1,5769,7100,1,1,11,3,4,0,6,3,3,6,2,4,4,5535,11538,36,0,1,1923.0,0.8571428571428571,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,1,2,1218,2,9,4,1,3,1,82,2,1,1,2,3407,6986,7,0,23,4,2,0,10,4,3,5,3,0,3,43848,3407,50,1,0,1703.5,0.45454545454545453,0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
29,0,2,694,1,1,3,1,4,0,87,2,4,4,0,16124,3423,3,0,14,3,2,2,9,2,2,7,7,1,7,20126,64496,63,0,2,3224.8,0.7,0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0,2,549,1,8,4,4,4,1,75,3,2,4,1,3697,9278,9,0,14,3,1,2,12,3,3,10,9,9,8,24705,7394,120,2,0,1232.3333333333333,0.7692307692307693,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0,2,507,1,20,1,1,1,1,97,3,2,3,2,2272,24812,0,0,14,3,2,0,5,2,3,4,3,1,2,11661,4544,20,0,0,757.3333333333334,0.6666666666666666,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
34,0,1,669,1,1,3,3,4,1,97,2,2,1,2,5343,25755,0,0,20,4,3,0,14,3,3,13,9,4,9,22746,10686,182,1,1,1781.0,0.8666666666666667,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
19,1,2,303,1,2,3,1,2,1,47,2,1,4,2,1102,9241,1,0,22,4,3,0,1,3,2,1,0,1,0,5757,1102,1,0,0,551.0,0.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
44,1,2,621,1,15,3,3,1,0,73,3,3,4,1,7978,14075,1,0,11,3,4,1,10,2,3,10,7,0,5,27324,23934,100,2,1,1994.5,0.9090909090909091,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,0,0,1169,1,14,4,5,3,1,64,3,2,2,1,5467,2125,8,0,18,3,3,1,16,4,4,8,7,1,7,54943,10934,128,2,1,1822.3333333333333,0.47058823529411764,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0,2,218,2,7,3,5,2,1,100,4,2,4,1,6929,12241,4,0,11,3,2,1,10,3,2,8,7,7,7,6758,13858,80,1,1,2309.6666666666665,0.7272727272727273,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,0,1,638,1,1,3,3,3,1,40,2,3,1,1,10673,3142,2,1,13,3,3,1,21,5,2,10,9,9,5,29348,32019,210,2,2,2668.25,0.45454545454545453,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
33,0,2,117,1,9,3,3,1,1,60,3,1,4,1,2781,6311,0,0,13,3,2,1,15,5,3,14,10,4,10,3861,2781,210,1,0,1390.5,0.875,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0,2,702,2,1,4,1,1,0,59,2,2,4,2,8686,12930,4,0,22,4,3,0,12,2,4,8,3,0,7,26676,17372,96,1,2,2895.3333333333335,0.6153846153846154,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,0,2,1396,1,5,2,1,4,1,62,3,2,2,2,5914,9945,8,0,16,3,4,0,16,3,4,13,11,3,7,50256,11828,208,1,1,1971.3333333333333,0.7647058823529411,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
